U;() the twenty-first letter of the English alphabet, is a cursive form of the letter V, with which it was formerly used interchangeably, both letters being then used both as vowels and consonants. U and V are now, however, differentiated, U being used only as a vowel or semivowel, and V only as a consonant. The true primary vowel sound of U, in Anglo-Saxon, was the sound which it still retains in most of the languages of Europe, that of long oo, as in tool, and short oo, as in wood, answering to the French ou in tour. Etymologically U is most closely related to o, y (vowel), w, and v; as in two, duet, dyad, twice; top, tuft; sop, sup; auspice, aviary. See V, also O and Y.
Uakari;(n.) Same as Ouakari.
Unnecessity;(n.) The state of being unnecessary
Unneighbored;(a.) Being without neigbors.
Unneighborly;(a.) Not neighborly
Unneighborly;(adv.) Not in a neighborly manner.
Unnervate;(a.) Enervate.
Unnerve;(v. t.) To deprive of nerve, force, or strength; to weaken; to enfeeble; as, to unnerve the arm.
Unnest;(v. t.) To eject from a nest
Unnestle;(v. t.) Same as Unnest.
Unnethe;(adv.) Alt. of Unnethes
Unnethes;(adv.) With difficulty. See Uneath.
Unnoble;(a.) Ignoble.
Unnobly;(adv.) Ignobly.
Unhooked;(a.) Without nooks and corners
Unnotify;(v. t.) To retract or withdraw a notice of.
Unnumbered;(a.) Not numbered
Unnumerable;(a.) Innumerable.
Unnun;(v. t.) To remove from condition of being a nun.
Unobedience;(n.) Disobedience.
Unobedient;(a.) Disobedient.
Unobservance;(n.) Want or neglect of observance
Unobtrusive;(a.) Not obtrusive
Unoffensive;(a.) Inoffensive.
Unoften;(adv.) Not often.
Unoil;(v. t.) To remove the oil from.
Unoperative;(a.) Producing no effect
Unoperculated;(a.) Destitute of an operculum, or cover.
Unorder;(v. t.) To countermand an order for.
Unorderly;(a.) Disorderly.
Unordinate;(a.) Disorderly
Unorganized;(a.) Not organized; being without organic structure; specifically (Biol.), not having the different tissues and organs characteristic of living organisms, nor the power of growth and development; as, the unorganized ferments. See the Note under Ferment, n., 1.
Unoriginated;(a.) Not originated
Unoriginated;(a.) Not yet caused to be, or to be made; as, possible inventions still unoriginated.
Unoriginately;(adv.) Without origin.
Unossified;(a.) Destitute of a bony structure.
Unowed;(a.) Ownerless.
Unowed;(a.) Not owed; as, to pay money unowed.
Unowned;(a.) Not owned
Unowned;(a.) Not acknowledged
Unpack;(v. t.) To separate and remove, as things packed; to open and remove the contents of; as, to unpack a trunk.
Unpack;(v. t.) To relieve of a pack or burden.
Unpacker;(n.) One who unpacks.
Unpaganize;(v. t.) To cause to cease to be pagan
Unpaint;(v. t.) To remove the paint from; to efface, as a painting.
Unpaired;(a.) Not paired
Unpalped;(a.) Destitute of a palp.
Unpannel;(v. t.) To take the saddle off
Unparadise;(v. t.) To deprive of happiness like that of paradise
Unparagoned;(a.) Having no paragon or equal
Unparalleled;(a.) Having no parallel, or equal; unequaled; unmatched.
Unparched;(a.) Dried up
Unparented;(a.) Having no parent, or no acknowledged parent.
Unparliamentary;(a.) Not parliamentary
Unpartial;(a.) Impartial.
Unpassable;(a.) Impassable.
Unpassionate;(a.) Not passionate
Unpastor;(v. t.) To cause to be no longer pastor
Unpathed;(a.) Not having a path.
Unpathwayed;(a.) Pathless.
Unpatience;(n.) Impatience.
Unpatient;(a.) Impatient.
Unpaved;(a.) Not paved
Unpaved;(a.) Castrated.
Unpay;(v. t.) To undo, take back, or annul, as a payment.
Unpeace;(n.) Absence or lack of peace.
Unpedigreed;(a.) Not distinguished by a pedigree.
Unpeeled;(a.) Thoroughly stripped
Unpeeled;(a.) Not peeled.
Unpeerable;(a.) Incapable of having a peer, or equal.
Unpeered;(a.) Having no peer
Unpeg;(v. t.) To remove a peg or pegs from
Unpen;(v. t.) To release from a pen or from confinement.
Unpenetrable;(a.) Impenetrable.
Unpenitent;(a.) Impenitent.
Unpeople;(v. t.) To deprive of inhabitants
Unperegal;(a.) Unequal.
Unperfect;(v. t.) To mar or destroy the perfection of.
Unperfect;(a.) Imperfect.
Unperfection;(n.) Want of perfection
Unperishable;(a.) Imperishable.
Unperishably;(adv.) Imperishably.
Unperplex;(v. t.) To free from perplexity.
Unpersuasion;(n.) The state of not being persuaded
Unpervert;(v. t.) To free from perversion
Unphilosophize;(v. t.) To degrade from the character of a philosopher.
Unpick;(v. t.) To pick out
Unpicked;(a.) Picked out
Unpicked;(a.) Not picked.
Unpin;(v. t.) To loose from pins; to remove the pins from; to unfasten; as, to unpin a frock; to unpin a frame.
Unpinion;(v. t.) To loose from pinions or manacles
Unpitied;(a.) Not pitied.
Unpitied;(a.) Pitiless
Unpitious;(a.) Impious
Unpitious;(a.) Destitute of pity
Unpitousty;(n.) Impiety.
Unpity;(n.) Want of piety.
Unplacable;(a.) Implacable.
Unplaced;(a.) Not placed.
Unplaid;(v. t.) To deprive of a plaid.
Unplained;(a.) Not deplored or bewailed
Unplat;(v. t.) To take out the folds or twists of, as something previously platted; to unfold; to unwreathe.
Unplausive;(a.) Not approving
Unpleaded;(a.) Not used as a plea; not urged; as, an unpleaded excuse.
Unpleaded;(a.) Not supported by pleas; undefended; as, an unpleaded suit.
Unpleasant;(a.) Not pleasant
Unpleasantries;(pl. ) of Unpleasantry
Unpleasantry;(n.) Want of pleasantry.
Unpleasantry;(n.) A state of disagreement
Unpleasive;(a.) Unpleasant.
Unpleat;(v. t.) To remove the plaits of
Unplight;(v. t.) To unfold
Unplumb;(v. t.) To deprive of lead, as of a leaden coffin.
Unplume;(v. t.) To strip of plumes or feathers; hence, to humiliate.
Unpoised;(a.) Not poised or balanced.
Unpoised;(a.) Not poised or weighed; hence, regardless of consequences; unhesitating.
Unpoison;(v. t.) To remove or expel poison from.
Unpolicied;(a.) Not having civil polity, or a regular form of government.
Unpolicied;(a.) Impolitic
Unpolish;(v. t.) To deprive of polish
Unpolite;(a.) Not polite
Unpolitic;(a.) Impolitic
Unpolled;(a.) Not polled.
Unpolled;(a.) Not enumerated or registered; as, an unpolled vote or voter.
Unpolled;(a.) Not plundered.
Unpope;(v. t.) To divest of the character, office, or authority of a pope.
Unpope;(v. t.) To deprive of a pope.
Unportunate;(a.) Importunate
Unportuous;(a.) Having no ports.
Unpossess;(v. t.) To be without, or to resign, possession of.
Unpossibility;(n.) Impossibility.
Unpossible;(a.) Impossible.
Unpower;(n.) Want of power
Unpowerful;(a.) Not powerful
Unpracticable;(a.) Impracticable
Unpractical;(a.) Not practical
Unpraise;(v. t.) To withhold praise from
Unpray;(v. t.) To revoke or annul by prayer, as something previously prayed for.
Unprayable;(a.) Not to be influenced or moved by prayers
Unprayed;(a.) Not prayed for.
Unpreach;(v. t.) To undo or overthrow by preaching.
Unprecedented;(a.) Having no precedent or example
Unpredict;(v. i.) To retract or falsify a previous prediction.
Unprejudiced;(a.) Not prejudiced; free from undue bias or prepossession; not preoccupied by opinion; impartial; as, an unprejudiced mind; an unprejudiced judge.
Unprejudiced;(a.) Not warped or biased by prejudice; as, an unprejudiced judgment.
Unprelated;(a.) Deposed from the office of prelate.
Unprevented;(a.) Not prevented or hindered; as, unprevented sorrows.
Unprevented;(a.) Not preceded by anything.
Unpriced;(a.) Not priced; being without a fixed or certain value; also, priceless.
Unpriest;(v. t.) To deprive of priesthood
Unprince;(v. t.) To deprive of the character or authority of a prince
Unprinciple;(v. t.) To destroy the moral principles of.
Unprincipled;(a.) Being without principles; especially, being without right moral principles; also, characterized by absence of principle.
Unprison;(v. t.) To take or deliver from prison.
Unprizable;(a.) Not prized or valued
Unprizable;(a.) Invaluable
Unprobably;(adv.) Improbably.
Unprobably;(adv.) In a manner not to be approved of
Unproficiency;(n.) Want of proficiency or improvement.
Unprofit;(n.) Want of profit
Unprofited;(a.) Profitless.
Unpromise;(v. t.) To revoke or annul, as a promise.
Unprop;(v. t.) To remove a prop or props from
Unproper;(a.) Not proper or peculiar
Unproselyte;(v. t.) To convert or recover from the state of a proselyte.
Unprotestantize;(v. t.) To render other than Protestant
Unprovide;(v. t.) To deprive of necessary provision
Unprovident;(a.) Improvident.
Unprudence;(n.) Imprudence.
Unprudent;(a.) Imprudent.
Unprudential;(a.) Imprudent.
Unpucker;(v. t.) To smooth away the puckers or wrinkles of.
Unpure;(a.) Not pure
Unpursed;(a.) Robbed of a purse, or of money.
Unpursed;(a.) Taken from the purse
Unqualify;(v. t.) To disqualify
Unqualitied;(a.) Deprived of the usual faculties.
Unqueen;(v. t.) To divest of the rank or authority of queen.
Unquestionable;(a.) Not questionable; as, an unquestionable title.
Unquestionable;(a.) Not inviting questions or conversation.
Unquestioned;(a.) Not called in question
Unquestioned;(a.) Not interrogated
Unquestioned;(a.) Indisputable
Unquick;(a.) Not quick.
Unquiet;(v. t.) To disquiet.
Unquiet;(a.) Not quiet
Unquietude;(n.) Uneasiness
Unravel;(v. t.) To disentangle; to disengage or separate the threads of; as, to unravel a stocking.
Unravel;(v. t.) Hence, to clear from complication or difficulty; to unfold; to solve; as, to unravel a plot.
Unravel;(v. t.) To separate the connected or united parts of
Unravel;(v. i.) To become unraveled, in any sense.
Unravelment;(n.) The act of unraveling, or the state of being unraveled.
Unrazored;(a.) Not shaven.
Unread;(a.) Not read or perused; as, an unread book.
Unread;(a.) Not versed in literature
Unreadiness;(n.) The quality or state of being unready.
Unready;(a.) Not ready or prepared
Unready;(a.) Not dressed
Unready;(v. t.) To undress.
Unreal;(a.) Not real
Unreality;(n.) The quality or state of being unreal
Unrealize;(v. t.) To make unreal
Unreally;(adv.) In an unreal manner
Unreason;(n.) Want of reason
Unreason;(v. t.) To undo, disprove, or refute by reasoning.
Unreasonable;(a.) Not reasonable
Unreasoned;(a.) Not supported by reason
Unreave;(v. t.) To unwind
Unreaved;(a.) Not torn, split, or parted; not torn to pieces.
Unrebukable;(a.) Not deserving rebuke or censure
Unrecuring;(a.) Incurable.
Unredeemed;(a.) Not redeemed.
Unreeve;(v. t.) To withdraw, or take out, as a rope from a block, thimble, or the like.
Unreformation;(n.) Want of reformation
Unregeneracy;(n.) The quality or state of being unregenerate.
Unregenerate;(a.) Alt. of Unregenerated
Unregenerated;(a.) Not regenerated
Unregeneration;(n.) Unregeneracy.
Unrein;(v. t.) To loosen the reins of
Unrelenting;(a.) Not relenting
Unreliable;(a.) Not reliable
Unreligious;(a.) Irreligious.
Unremembrance;(n.) Want of remembrance
Unremitting;(a.) Not remitting; incessant; continued; persevering; as, unremitting exertions.
Unremorseless;(a.) Utterly remorseless.
Unrepentance;(n.) Impenitence.
Unreproachable;(a.) Not liable to be reproached
Unreprievable;(a.) Not capable of being reprieved.
Unreproved;(a.) Not reproved.
Unreproved;(a.) Not having incurred reproof, blameless.
Unreputable;(a.) Disreputable.
Unreserve;(n.) Absence of reverse
Unreserved;(a.) Not reserved
Unresistance;(n.) Nonresistance
Unresisted;(a.) Not resisted
Unresisted;(a.) Resistless; as, unresisted fate.
Unresistible;(a.) Irresistible.
Unrespect;(n.) Disrespect.
Unresponsible;(a.) Irresponsible.
Unrest;(n.) Want of rest or repose
Unrestraint;(n.) Freedom from restraint
Unresty;(a.) Causing unrest; disquieting; as, unresty sorrows.
Unrevenued;(a.) Not furnished with a revenue.
Unreverence;(n.) Absence or lack of reverence
Unreverend;(a.) Not reverend.
Unreverend;(a.) Disrespectful
Unreverent;(a.) Irreverent.
Unreverently;(adv.) Irreverently.
Unriddle;(v. t. & i.) To read the riddle of; to solve or explain; as, to unriddle an enigma or a mystery.
Unriddler;(n.) One who unriddles.
Unrig;(v. t.) To strip of rigging; as, to unrig a ship.
Unright;(a.) Not right
Unright;(n.) A wrong.
Unright;(v. t.) To cause (something right) to become wrong.
Unrighteous;(a.) Not righteous; evil; wicked; sinful; as, an unrighteous man.
Unrighteous;(a.) Contrary to law and equity; unjust; as, an unrighteous decree or sentence.
Unrightwise;(a.) Unrighteous.
Unringed;(a.) Not having a ring, as in the nose.
Unrioted;(a.) Free from rioting.
Unrip;(v. t.) To rip
Unripe;(a.) Not ripe; as, unripe fruit.
Unripe;(a.) Developing too early
Unripeness;(n.) Quality or state of being unripe.
Unrivaled;(a.) Having no rival
Unrivet;(v. t.) To take out, or loose, the rivets of; as, to unrivet boiler plates.
Unrobe;(v. t. & i.) To disrobe
Unroll;(v. t.) To open, as what is rolled or convolved; as, to unroll cloth; to unroll a banner.
Unroll;(v. t.) To display
Unroll;(v. t.) To remove from a roll or register, as a name.
Un-Romanized;(a.) Not subjected to Roman arms or customs.
Un-Romanized;(a.) Not subjected to the principles or usages of the Roman Catholic Church.
Unroof;(v. t.) To strip off the roof or covering of, as a house.
Unroofed;(a.) Stripped of a roof, or similar covering.
Unroofed;(a.) Not yet roofed.
